Time 	mean_delta_inf 	mean_S_exp_offspring 	mean_S_real_offspring 	mean_mean_real_transmission 
156000 	0.00049245675198659458 	0.00044206904480754695 	0.00050079014626086202 	-8.3333942738778027e-06 
158000 	0.00038463883693563616 	0.00033413190864199974 	0.00038240297146846053 	2.2358654597522756e-06 
160000 	0.00037773205180988611 	0.00046305619894481656 	0.00037701893626378342 	7.1311555063457969e-07 
162000 	0.00089698448801460982 	0.00074047400088331715 	0.00089895779813680451 	-1.9733101294369915e-06 
164000 	0.0006710547422723892 	0.00054515429646963341 	0.00067570238793303252 	-4.647645648443347e-06 
166000 	0.00059579147997739315 	0.0008106752720681838 	0.00059595108495197856 	-1.596049707250839e-07 
168000 	0.00060724043208371375 	0.00053439297033446085 	0.00060893728312896519 	-1.6968510329016003e-06 
170000 	0.00020636081092867187 	0.00014867196910976091 	0.00021062017578734151 	-4.259364882588652e-06 
172000 	0.00025153409524067172 	0.00011405714505680313 	0.00024407575444246587 	7.4583408031426456e-06 
174000 	0.00035008229361231712 	0.00032526368852918739 	0.00034284617285550693 	7.2361207572719669e-06 
176000 	0.00039856635123327065 	0.00031990340854631756 	0.00039786320949208387 	7.0314174122193258e-07 
178000 	0.00071905224400128985 	0.00052605399882165609 	0.00071389351134807158 	5.158732653257e-06 
180000 	0.00049810323903719223 	0.00036050817094231775 	0.00049788966757012478 	2.1357146666347683e-07 
182000 	0.00014364473462948979 	0.00014002686885264507 	0.00014338338856489016 	2.6134606246713047e-07 
184000 	0.0002946971503115634 	0.00039580393274188386 	0.00029470846180349093 	-1.1311489177073645e-08 
186000 	0.000170254507326149 	0.00011596161621094857 	0.00016540757163814959 	4.8469356883866748e-06 
188000 	0.00041365834120824727 	0.00032433815120974028 	0.00041994191710754465 	-6.2835759001181642e-06 
190000 	0.00016565255256327304 	0.00023945793077073414 	0.00017178023227318627 	-6.1276797093828765e-06 
192000 	0.00037228470828991079 	0.00041887390971403728 	0.00036719502484592914 	5.0896834435421307e-06 
194000 	0.00036985509707697871 	0.00069441303672717572 	0.00037102417964613701 	-1.1690825667980469e-06 
196000 	0.00082899568681364146 	0.00060092324089762049 	0.00083548341692388814 	-6.4877301126237437e-06 
198000 	0.00054433180157687389 	0.00091140625107628468 	0.00054177152815579734 	2.5602734403227768e-06 
200000 	0.00063949739087433956 	0.00068057293739079015 	0.00064439656685482392 	-4.8991760003271426e-06 
202000 	0.00087726530970321903 	0.00075598591494094021 	0.00088371217593828178 	-6.4468662346373137e-06 
204000 	-9.2100181965832917e-06 	0.00032290572365512596 	-4.8125277606686732e-06 	-4.3974904383200049e-06 
206000 	0.00064155210011195148 	0.00043189796887594794 	0.00063519241679028515 	6.3596833247159982e-06 
208000 	0.0001989077777089392 	0.00046063714774466526 	0.00020149237917103401 	-2.5846014627973115e-06 
210000 	0.00053775115754905295 	0.00062963244690391316 	0.00054301351741512633 	-5.262359866345662e-06 
212000 	0.00038585678038478475 	0.00039303232008287213 	0.00038711632645103218 	-1.2595460649645848e-06 
214000 	0.00049281232722344726 	0.00035512098841807054 	0.00048298790604862294 	9.8244211841256024e-06 
216000 	0.00030880006886997079 	0.00038166766859026613 	0.00030525841782237071 	3.5416510235724403e-06 
218000 	0.00013591451346397322 	0.00033572455257967085 	0.00013607894547535269 	-1.644319891551752e-07 
220000 	0.00047010507000540258 	0.00044876499551515348 	0.00047105139496923088 	-9.4632497161747802e-07 
222000 	0.00051435680176128073 	0.0003975715171974686 	0.00051594809765400642 	-1.5912958929555375e-06 
224000 	0.00036538762738742034 	0.0002774355445418847 	0.00036506861143187802 	3.1901595416716761e-07 
226000 	0.00082108808782955123 	0.00061608004785751848 	0.00081404393084170284 	7.0441569899080447e-06 
228000 	0.00050312219212243292 	0.00037070532031315668 	0.00050868715521528492 	-5.5649630976098311e-06 
230000 	2.9723178051099807e-05 	0.00036669143648967512 	2.5886855444056401e-05 	3.8363226630017827e-06 
232000 	0.0011174783654643789 	0.00061869261539485856 	0.0011179410294919613 	-4.6266407916293109e-07 
234000 	0.00032822940835356464 	0.00018538342221916868 	0.00032544815599552492 	2.781252368224686e-06 
236000 	0.0001126649353985556 	0.0001352957036450464 	0.00012206586252282915 	-9.4009271372155027e-06 
238000 	0.000562464584280491 	0.0003088937072380031 	0.00056236280937744338 	1.0177490267309523e-07 
240000 	0.00029765493038462411 	0.00038659283325506776 	0.00029160112154868258 	6.0538088387812139e-06 
242000 	0.00019963457286766584 	0.00019620473487722809 	0.00020600909630297373 	-6.3745234347540226e-06 
244000 	0.00037359325994106029 	0.00050630919471051662 	0.00037914725478192937 	-5.5539948412233074e-06 
246000 	3.3070733774991371e-05 	7.6622213169304934e-05 	2.9630558060793942e-05 	3.4401757146040441e-06 
248000 	0.00031313080462962259 	0.00054276797284996648 	0.00032269894688078445 	-9.568142250705285e-06 
250000 	0.00050334105965688992 	0.00053007748320345739 	0.00050401409508600515 	-6.7303542999936678e-07 
